000F 3E22
0010 0001
0012 403F
0014 0001
0016 3FE6
0019 001E
001A 0028
001B 0005
001C 0032
001D 003C
001E 000A
001F 000B
0020 000C
0021 000D
0022 000E
0028 0014
0029 0015
002A 0016
002B 0017
002C 0018
0032 0050
0033 0051
0034 0052
0035 0053
0036 0054
003C 0042
003D 0043
003E 0044
003F 0045
0040 0046
0064 C80F
0065 8410
0066 CC11
0067 C812
0068 8810
0069 CC13
006A 0414
006B 9414
006C CC17
006D 0415
006E 9412
006F 0818
0070 C81B
0071 8C19
0072 901C
0073 0000
